사번,직원명,부서,카드등급,접근구역,발급일,만료일,갱신현황
ENG001,김민준,서버개발팀,B,B구역,2025-05-20,2026-05-19,대기
ENG002,이서연,프론트엔드팀,A,A구역,2025-05-22,2026-05-21,대기
ENG003,박도윤,백엔드팀,B,B구역,2025-05-27,2026-05-26,대기
ENG004,최지우,ML팀,B,B구역,2025-06-01,2026-05-31,대기
ENG005,정하은,데이터팀,A,A구역,2025-06-05,2026-06-04,대기
ENG006,강서준,DevOps팀,C,C구역,2025-06-10,2026-06-09,대기
ENG007,조예린,프론트엔드팀,A,A구역,2025-06-14,2026-06-13,대기
ENG008,윤시우,백엔드팀,B,B구역,2025-06-20,2026-06-19,대기
ENG009,장나연,QA팀,A,A구역,2025-07-10,2026-07-09,대기
ENG010,임지호,보안팀,C,C구역,2025-08-01,2026-07-31,대기
ENG011,한소율,백엔드팀,B,B구역,2025-09-15,2026-09-14,대기
ENG012,오민서,ML팀,B,B구역,2025-10-20,2026-10-19,대기
ENG013,서준혁,프론트엔드팀,A,A구역,2025-11-05,2026-11-04,대기
ENG014,권아영,데이터팀,A,A구역,2026-01-10,2027-01-09,대기
ENG015,황태양,DevOps팀,C,C구역,2025-05-08,2026-05-07,완료
ENG016,안채원,백엔드팀,B,B구역,2025-04-15,2026-04-14,완료
ENG017,송유준,ML팀,B,B구역,2025-03-20,2026-03-19,완료
ENG018,류하린,QA팀,A,A구역,2025-02-28,2026-02-27,완료
ENG019,전소미,프론트엔드팀,A,A구역,2026-03-10,2027-03-09,대기
ENG020,남건우,보안팀,C,C구역,2025-07-25,2026-07-24,대기
