사번,직원명,과정명,1회차,2회차,3회차,4회차,5회차,6회차
ENG001,김민준,비즈니스 영어,O,O,O,O,O,O
ENG002,이서연,비즈니스 영어,O,O,O,O,O,X
ENG003,박도윤,비즈니스 영어,O,O,X,O,O,O
ENG004,최지우,비즈니스 영어,O,X,O,O,X,O
ENG005,정하은,비즈니스 영어,O,O,O,X,O,O
ENG006,강서준,비즈니스 영어,X,O,O,O,O,O
ENG007,조예린,비즈니스 영어,O,O,O,O,X,X
ENG008,윤시우,비즈니스 영어,O,X,X,O,O,O
ENG009,장나연,비즈니스 영어,X,O,O,X,O,O
ENG010,임지호,비즈니스 영어,O,O,X,O,O,X
ENG011,한소율,일본어 초급,O,O,O,O,O,O
ENG012,오민서,일본어 초급,O,O,O,O,X,O
ENG013,서준혁,일본어 초급,O,X,O,O,O,O
ENG014,권아영,일본어 초급,X,O,O,O,O,O
ENG015,황태양,일본어 초급,O,O,X,X,O,O
ENG016,안채원,일본어 초급,O,O,O,X,O,X
ENG017,송유준,일본어 초급,X,X,O,O,O,O
ENG018,류하린,중국어 중급,O,O,O,O,O,O
ENG019,전소미,중국어 중급,O,O,X,O,O,O
ENG020,남건우,중국어 중급,X,O,O,O,X,O
ENG001,김민준,중국어 중급,O,O,O,X,O,O
ENG002,이서연,중국어 중급,O,X,O,O,O,X
