사번,직원명,부서,과정명,신청일,수강상태
ENG001,김민준,서버개발팀,비즈니스 영어,2026-03-01,수강중
ENG002,이서연,프론트엔드팀,비즈니스 영어,2026-03-01,수강중
ENG003,박도윤,백엔드팀,비즈니스 영어,2026-03-01,수강중
ENG004,최지우,ML팀,비즈니스 영어,2026-03-01,수강중
ENG005,정하은,데이터팀,비즈니스 영어,2026-03-01,수강중
ENG006,강서준,DevOps팀,비즈니스 영어,2026-03-01,수강중
ENG007,조예린,프론트엔드팀,비즈니스 영어,2026-03-01,수강중
ENG008,윤시우,백엔드팀,비즈니스 영어,2026-03-01,수강중
ENG009,장나연,QA팀,비즈니스 영어,2026-03-01,수강중
ENG010,임지호,보안팀,비즈니스 영어,2026-03-01,수강중
ENG011,한소율,백엔드팀,일본어 초급,2026-03-05,수강중
ENG012,오민서,ML팀,일본어 초급,2026-03-05,수강중
ENG013,서준혁,프론트엔드팀,일본어 초급,2026-03-05,수강중
ENG014,권아영,데이터팀,일본어 초급,2026-03-05,수강중
ENG015,황태양,DevOps팀,일본어 초급,2026-03-05,수강중
ENG016,안채원,백엔드팀,일본어 초급,2026-03-05,수강중
ENG017,송유준,ML팀,일본어 초급,2026-03-05,수강중
ENG018,류하린,QA팀,중국어 중급,2026-03-10,수강중
ENG019,전소미,프론트엔드팀,중국어 중급,2026-03-10,수강중
ENG020,남건우,보안팀,중국어 중급,2026-03-10,수강중
ENG001,김민준,서버개발팀,중국어 중급,2026-03-10,수강중
ENG002,이서연,프론트엔드팀,중국어 중급,2026-03-10,수강중
